date,sku_id,stock_on_hand,stockout_flag,lead_time_days
1/1/21,1,467,0,12
1/2/21,1,461,0,12
1/3/21,1,320,0,12
1/4/21,1,304,0,12
1/5/21,1,396,0,12
1/6/21,1,341,0,12
1/7/21,1,391,0,12
1/8/21,1,551,0,12
1/9/21,1,483,0,12
1/10/21,1,536,0,12
1/11/21,1,329,0,12
1/12/21,1,514,0,12
1/13/21,1,461,0,12
1/14/21,1,303,0,12
1/15/21,1,359,0,12
1/16/21,1,365,0,12
1/17/21,1,544,0,12
1/18/21,1,322,0,12
1/19/21,1,381,0,12
1/20/21,1,377,0,12
1/21/21,1,528,0,12
1/22/21,1,424,0,12
1/23/21,1,453,0,12
1/24/21,1,381,0,12
1/25/21,1,556,0,12
1/26/21,1,441,0,12
1/27/21,1,487,0,12
1/28/21,1,373,0,12
1/29/21,1,345,0,12
1/30/21,1,315,0,12
1/31/21,1,369,0,12
2/1/21,1,511,0,12
2/2/21,1,411,0,12
2/3/21,1,441,0,12
2/4/21,1,457,0,12
2/5/21,1,329,0,12
2/6/21,1,298,0,12
2/7/21,1,321,0,12
2/8/21,1,461,0,12
2/9/21,1,474,0,12
2/10/21,1,473,0,12
2/11/21,1,439,0,12
2/12/21,1,320,0,12
2/13/21,1,428,0,12
2/14/21,1,560,0,12
2/15/21,1,300,0,12
2/16/21,1,458,0,12
2/17/21,1,371,0,12
2/18/21,1,302,0,12
2/19/21,1,487,0,12
2/20/21,1,399,0,12
2/21/21,1,323,0,12
2/22/21,1,354,0,12
2/23/21,1,322,0,12
2/24/21,1,528,0,12
2/25/21,1,546,0,12
2/26/21,1,481,0,12
2/27/21,1,539,0,12
2/28/21,1,453,0,12
3/1/21,1,401,0,12
3/2/21,1,325,0,12
3/3/21,1,301,0,12
3/4/21,1,340,0,12
3/5/21,1,478,0,12
3/6/21,1,433,0,12
3/7/21,1,298,0,12
3/8/21,1,388,0,12
3/9/21,1,480,0,12
3/10/21,1,536,0,12
3/11/21,1,473,0,12
3/12/21,1,460,0,12
3/13/21,1,424,0,12
3/14/21,1,326,0,12
3/15/21,1,551,0,12
3/16/21,1,390,0,12
3/17/21,1,395,0,12
3/18/21,1,487,0,12
3/19/21,1,380,0,12
3/20/21,1,404,0,12
3/21/21,1,350,0,12
3/22/21,1,334,0,12
3/23/21,1,477,0,12
3/24/21,1,520,0,12
3/25/21,1,567,0,12
3/26/21,1,510,0,12
3/27/21,1,542,0,12
3/28/21,1,541,0,12
3/29/21,1,462,0,12
3/30/21,1,344,0,12
3/31/21,1,448,0,12
4/1/21,1,469,0,12
4/2/21,1,513,0,12
4/3/21,1,327,0,12
4/4/21,1,536,0,12
4/5/21,1,455,0,12
4/6/21,1,378,0,12
4/7/21,1,345,0,12
4/8/21,1,511,0,12
4/9/21,1,391,0,12
4/10/21,1,397,0,12
4/11/21,1,488,0,12
4/12/21,1,466,0,12
4/13/21,1,530,0,12
4/14/21,1,472,0,12
4/15/21,1,469,0,12
4/16/21,1,312,0,12
4/17/21,1,463,0,12
