date,sku_id,category,supplier_id,units_sold,price,promo_flag,is_black_friday_week,is_christmas_peak
1/1/21,1,Storage,SUP_D,20,299.43,0,0,0
1/2/21,1,Storage,SUP_D,21,274.9,0,0,0
1/3/21,1,Storage,SUP_D,24,275.25,0,0,0
1/4/21,1,Storage,SUP_D,19,286.29,0,0,0
1/5/21,1,Storage,SUP_D,8,291.12,0,0,0
1/6/21,1,Storage,SUP_D,11,299.09,0,0,0
1/7/21,1,Storage,SUP_D,23,287.64,0,0,0
1/8/21,1,Storage,SUP_D,25,282.84,0,0,0
1/9/21,1,Storage,SUP_D,18,278.79,0,0,0
1/10/21,1,Storage,SUP_D,19,298.66,0,0,0
1/11/21,1,Storage,SUP_D,17,290.49,0,0,0
1/12/21,1,Storage,SUP_D,18,280.67,0,0,0
1/13/21,1,Storage,SUP_D,15,277.51,0,0,0
1/14/21,1,Storage,SUP_D,18,279.03,0,0,0
1/15/21,1,Storage,SUP_D,9,298.12,0,0,0
1/16/21,1,Storage,SUP_D,18,294.71,0,0,0
1/17/21,1,Storage,SUP_D,15,298.94,0,0,0
1/18/21,1,Storage,SUP_D,18,284.21,0,0,0
1/19/21,1,Storage,SUP_D,17,279.26,0,0,0
1/20/21,1,Storage,SUP_D,13,272.7,0,0,0
1/21/21,1,Storage,SUP_D,14,284.37,0,0,0
1/22/21,1,Storage,SUP_D,16,276.9,0,0,0
1/23/21,1,Storage,SUP_D,16,286.55,0,0,0
1/24/21,1,Storage,SUP_D,22,294.44,0,0,0
1/25/21,1,Storage,SUP_D,7,288.22,0,0,0
1/26/21,1,Storage,SUP_D,21,286.5,0,0,0
1/27/21,1,Storage,SUP_D,11,277.44,0,0,0
1/28/21,1,Storage,SUP_D,20,273.77,0,0,0
1/29/21,1,Storage,SUP_D,17,279.37,0,0,0
1/30/21,1,Storage,SUP_D,18,292.31,0,0,0
1/31/21,1,Storage,SUP_D,20,285.4,0,0,0
2/1/21,1,Storage,SUP_D,21,284.64,0,0,0
2/2/21,1,Storage,SUP_D,17,294.88,0,0,0
2/3/21,1,Storage,SUP_D,11,279.07,0,0,0
2/4/21,1,Storage,SUP_D,12,274.96,0,0,0
2/5/21,1,Storage,SUP_D,18,272.41,0,0,0
2/6/21,1,Storage,SUP_D,25,284.38,0,0,0
2/7/21,1,Storage,SUP_D,21,277.2,0,0,0
2/8/21,1,Storage,SUP_D,13,296.15,0,0,0
2/9/21,1,Storage,SUP_D,18,288.23,0,0,0
2/10/21,1,Storage,SUP_D,11,289.15,0,0,0
2/11/21,1,Storage,SUP_D,17,295.69,0,0,0
2/12/21,1,Storage,SUP_D,18,293.04,0,0,0
2/13/21,1,Storage,SUP_D,20,292.13,0,0,0
2/14/21,1,Storage,SUP_D,20,292.73,0,0,0
2/15/21,1,Storage,SUP_D,17,297.8,0,0,0
2/16/21,1,Storage,SUP_D,7,277.27,0,0,0
2/17/21,1,Storage,SUP_D,17,284.57,0,0,0
2/18/21,1,Storage,SUP_D,13,296.73,0,0,0
2/19/21,1,Storage,SUP_D,20,280.9,0,0,0
2/20/21,1,Storage,SUP_D,18,274.57,0,0,0
2/21/21,1,Storage,SUP_D,14,281.71,0,0,0
2/22/21,1,Storage,SUP_D,12,274.31,0,0,0
2/23/21,1,Storage,SUP_D,16,297.73,0,0,0
2/24/21,1,Storage,SUP_D,24,271.46,0,0,0
2/25/21,1,Storage,SUP_D,15,293.35,0,0,0
2/26/21,1,Storage,SUP_D,15,293.97,0,0,0
2/27/21,1,Storage,SUP_D,24,278.38,0,0,0
2/28/21,1,Storage,SUP_D,11,286.29,0,0,0
3/1/21,1,Storage,SUP_D,13,294.55,0,0,0
3/2/21,1,Storage,SUP_D,6,298.74,0,0,0
3/3/21,1,Storage,SUP_D,13,285.52,0,0,0
3/4/21,1,Storage,SUP_D,15,299.2,0,0,0
3/5/21,1,Storage,SUP_D,13,282.59,0,0,0
3/6/21,1,Storage,SUP_D,14,292.26,0,0,0
3/7/21,1,Storage,SUP_D,17,276.78,0,0,0
3/8/21,1,Storage,SUP_D,13,224.89,1,0,0
3/9/21,1,Storage,SUP_D,13,240.75,1,0,0
3/10/21,1,Storage,SUP_D,19,219.39,1,0,0
3/11/21,1,Storage,SUP_D,18,248.84,1,0,0
3/12/21,1,Storage,SUP_D,19,255.56,1,0,0
3/13/21,1,Storage,SUP_D,25,246.94,1,0,0
3/14/21,1,Storage,SUP_D,14,206.93,1,0,0
3/15/21,1,Storage,SUP_D,20,237.77,1,0,0
3/16/21,1,Storage,SUP_D,22,244.25,1,0,0
3/17/21,1,Storage,SUP_D,15,200.85,1,0,0
3/18/21,1,Storage,SUP_D,21,236.49,1,0,0
3/19/21,1,Storage,SUP_D,17,225.02,1,0,0
3/20/21,1,Storage,SUP_D,27,214.86,1,0,0
3/21/21,1,Storage,SUP_D,26,254.36,1,0,0
3/22/21,1,Storage,SUP_D,12,274.12,0,0,0
3/23/21,1,Storage,SUP_D,14,297.15,0,0,0
3/24/21,1,Storage,SUP_D,9,289.58,0,0,0
3/25/21,1,Storage,SUP_D,14,279.09,0,0,0
3/26/21,1,Storage,SUP_D,11,275.68,0,0,0
3/27/21,1,Storage,SUP_D,17,298.71,0,0,0
3/28/21,1,Storage,SUP_D,15,295.67,0,0,0
3/29/21,1,Storage,SUP_D,20,239.78,1,0,0
3/30/21,1,Storage,SUP_D,20,244.95,1,0,0
3/31/21,1,Storage,SUP_D,21,241.65,1,0,0
4/1/21,1,Storage,SUP_D,29,201.66,1,0,0
4/2/21,1,Storage,SUP_D,23,225.79,1,0,0
4/3/21,1,Storage,SUP_D,23,241.58,1,0,0
4/4/21,1,Storage,SUP_D,23,233.21,1,0,0
4/5/21,1,Storage,SUP_D,14,294.18,0,0,0
4/6/21,1,Storage,SUP_D,15,283.25,0,0,0
4/7/21,1,Storage,SUP_D,18,277.29,0,0,0
4/8/21,1,Storage,SUP_D,10,296.74,0,0,0
4/9/21,1,Storage,SUP_D,12,275.35,0,0,0
4/10/21,1,Storage,SUP_D,19,292.29,0,0,0
4/11/21,1,Storage,SUP_D,22,276.59,0,0,0
4/12/21,1,Storage,SUP_D,12,273.58,0,0,0
4/13/21,1,Storage,SUP_D,17,298.69,0,0,0
4/14/21,1,Storage,SUP_D,17,278.64,0,0,0
4/15/21,1,Storage,SUP_D,11,299.98,0,0,0
4/16/21,1,Storage,SUP_D,14,288.68,0,0,0
4/17/21,1,Storage,SUP_D,11,285.69,0,0,0
4/18/21,1,Storage,SUP_D,10,278.01,0,0,0
